id,surveys,priority,trigger,label,text,explain,formtype,choices,lookup,regex,setproperty,references,minfrequency,measure,answermin,answermax,hint
,,,,,,,,,,,,,,,,,
HasPartner,DiabetesInitial,,HasDiabetes || HasPreDiabetes || HasHealthGoal,,Do you have a partner who can help you with your health goals?,,yesno,,,,,,,,,,
WhoPartner,DiabetesInitial,,HasPartner,,Who is your health partner?  (Enter a nickname),,text,,,,,,,,,,
WhoOtherPartners,DiabetesInitial,,HasPartner && WhoPartner,,Do you have other health partners?  (Enter any other nicknames),,listText,,,,,,,,,,
DiabetesGoals,DiabetesInitial,,HasDiabetes,,What goals do you have for your diabetes?,,choices,Prevent It from Progressing;Cure It;Reduce Drugs;Reduce Cost;Improve Symtpoms,,,,,90,,,,
GoalDrugsToStop,DiabetesInitial,,"includes('DiabetesGoals', 'Reduce Drugs')",,Which drugs would you like to eventually stop?,,text,,,,,,90,,,,
DiabetesCost,DiabetesInitial,,HasDiabetes,,What does diabetes cost you per month now?,,currency,,,,,,30,,,,
GoalDiabetesCost,DiabetesInitial,,DiabetesCost,,What is your goal for your monthly diabetes cost?,,currency,,,,,,30,,,,
GoalDiabetesSymptomsToImprove,DiabetesInitial,,"includes('DiabetesGoals', 'Improve Symptoms')",,Which symptoms do you hope to improve?,,text,,,,,,90,,,,
DiabetesInterfereDailyActivities,,,,,Does  your diabetes interfere with your daily activities?,,yesno,,,,,,60,,,,
HowDiabetesInterfere,,,InterfereDailyActivities,,How has your diabetes interfered with your daily activities?,,poll,,,,,,60,,,,
PollDMConcern,,,,,What concerns you the most about having diabetes?,,poll,,,,,,60,,,,
PollWhatChangesForDM,,,,,What changes in your life do you think you need to make to help manage your diabetes?,,poll,,,,,,60,,,,
ConfidentDMChanges,,,,,How confident do you think you are about making changes needed to improve your diabetes?,,integer,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cigarettes,DiabetesInitial,25,,,Do you smoke cigarettes?,,yesno,,,,,,365,,,,
CigarettesPerDay,DiabetesInitial,30,Cigarettes,,How many cigarettes do you smoke per day?,,integer,,,,,,7,,,,
,,,,,,,,,,,,,,,,,
MeasureBPWeekly,,,,,Do you measure your blood pressure weekly?,,yesno,,,,,,30,,,,
AdvisoryMonitorBP,,,! MeasureBPWeekly && (daysSince(BPValue.date) > 7 || daysSince(BPValue.date) > 2 && concernBP),,"We recommend that you check your blood pressure occasionally, like 1-7 times per week.  Are you able to check your blood pressure at least once per week?","When people change their lifestyle for the better, we often see blood pressure drop. Sometimes, when people are also on blood pressure medicine, their blood pressure can drop too much.  For safety purposes, to ensure yoru blood pressure does not drop too much, we recommend you measure it at least once per week, using any good blood pressure device that wraps around your arm (NOT your wrist).",yesno,,,,,,30,,,,
BPValue,,,,,What was your home-measured blood pressure?,,bloodPressurePlusDate,,,,,,1,,,,
TrackingGoals,,,"includes('my.goals', 'Exercise')",,"Which of these things that you would like to track, so that you may improve them?",,choices,Blood Glucose; Blood Pressure; Exercise; Medications; Snacking; Meat; Dairy; Eggs; Sweets; Fat,,,,,30,,,,
BriskWalkLast7Days, ,,"includes('TrackingGoals', 'Exercise')",,How many times in the last 7 days did you go for a brisk walk?,"Recommendation is that you should exercise to amoderate intensity (like a brisk walk) for 30 minutes, at least 5 times per week",number,,,,,,7,,0,,
PedometerStepsYesterday,,,"includes('TrackingGoals', 'Exercise')",,How many pedometer steps did you take yesterday?,,integer,,,,,,7,,0,,
IntervalsLast7Days,,,"includes('TrackingGoals', 'Exercise')",,How many times in the last 7 days did you get your heart up and winded?,,integer,,,,,,7,,,,
LovedOnes,,,,,"Who are the people that surround you, that you hope to touch with your new lifestyle?  (just include nicknames).  Example: ""Mom, Jess, Uncle Ray""","Actions speak louder than words. When you change your lifestyle, you are showing those around you a path toward vitality.",textList,,,,,,90,,,,
MainConcernsDM,,,,,What are your main concerns for achieving real results?,,choices,No support at home; I get hungry; I crave my unhealthy foods; Nighttime snacking; I do not like healthy foods; Low blood glucose; Low blood pressure; Expensive healthy foods; Social gatherings; Don't like to cook,,,,,60,,,,
LastDMEyeExam,,,HasDiabetes && !daysSince('LastDMEyeExam') < 365,,When was your last diabetic eye exam?,All diabetics are recommended to have their eyes examined once per year.,date,,,,,,365,,,,
LastDMDrVisit,,,HasDiabetes && !daysSince('LastDMDrVisit') < 365,,When was your last visit with your diabetes doctor or your primary care provider (PCP)?,All diabetics are recommended to see their doctor at least once per year.,date,,,,,,365,,,,
GoutFoods24Hours,,,"includes(my.goals, 'GoutLifestyle')",,How many times in the last 24 hours did you eat foods that can cause gout?,"Top foods that cause gout include: organ meats, red meat, all other meat, aspagus, beer",,,,,,,,,,,
,,,"includes(my.goals, 'GoutLifestyle')",,,,,,,,,,,,,,
,,,"includes(my.goals, 'GoutLifestyle')",,,,,,,,,,,,,,
,,,"includes(my.goals, 'GoutLifestyle')",,,,,,,,,,,,,,
,,,"includes(my.goals, 'GoutLifestyle')",,,,,,,,,,,,,,
,,,"includes(my.goals, 'GoutLifestyle')",,,,,,,,,,,,,,
,,,"includes(my.goals, 'GoutLifestyle')",,,,,,,,,,,,,,
